TYPE	Min_reads_per_type	Min_type_percent_hpv_reads
HPV03	200	0.002
HPV06	200	0.002
HPV11	200	0.002
HPV13	200	0.0025
HPV16	250	0.01
HPV18	250	0.01
HPV26	200	0.0025
HPV28	200	0.0025
HPV30	200	0.005
HPV31	200	0.0025
HPV32	200	0.005
HPV33	200	0.005
HPV35	250	0.01
HPV39	200	0.002
HPV40	200	0.002
HPV42	200	0.0025
HPV43	200	0.0025
HPV44	200	0.005
HPV45	200	0.002
HPV51	250	0.01
HPV52	200	0.0025
HPV53	200	0.0025
HPV54	200	0.0025
HPV55	200	0.0025
HPV56	250	0.01
HPV58	200	0.0025
HPV59	200	0.0025
HPV61	200	0.002
HPV62	200	0.0025
HPV64	200	0.005
HPV66	200	0.005
HPV67	200	0.005
HPV68a	200	0.005
HPV68b	200	0.005
HPV69	200	0.005
HPV70	200	0.001
HPV71	200	0.0025
HPV72a	200	0.0025
HPV73	200	0.002
HPV74	200	0.002
HPV76	200	0.0025
HPV81	200	0.0025
HPV82	200	0.0025
HPV82v	200	0.0025
HPV83	200	0.002
HPV84	200	0.002
HPV85	200	0.005
HPV86	200	0.005
HPV87	200	0.0025
HPV89	200	0.0025
HPV90	200	0.005
HPV91	200	0.0025
HPV97	200	0.005
HPV114	200	0.0025
