Sort_Order,Project,Sample_Owner,Panel,Specimen_Type,Specimen_Media,Ext_Lab,Ext_Operator,Ext_Method,Ext_Date,gDNA_Plate_ID,gDNA_Well_ID,Assay_Lab,Assay_Operator,Assay_Start_Date,Assay_Batch_Code,Assay_Plate_Code,Assay_Well_ID,Owner_Sample_ID,barcode,total_reads,B2M,HPV03,HPV06,HPV11,HPV13,HPV16,HPV18,HPV26,HPV28,HPV30,HPV31,HPV32,HPV33,HPV35,HPV39,HPV40,HPV42,HPV43,HPV44,HPV45,HPV51,HPV52,HPV53,HPV54,HPV55,HPV56,HPV58,HPV59,HPV61,HPV62,HPV64,HPV66,HPV67,HPV68a,HPV68b,HPV69,HPV70,HPV71,HPV72a,HPV73,HPV74,HPV76,HPV81,HPV82,HPV82v,HPV83,HPV84,HPV85,HPV86,HPV87,HPV89,HPV90,HPV91,HPV97,HPV114
1,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A1,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A1,Project1_sample-0557,A65P01,5894,5877,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A2,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A2,Project1_sample-0490,A65P02,3270,3261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A3,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A3,Project1_sample-0400,A65P03,3464,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A4,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A4,Project1_sample-0229,A65P04,93679,1244,0,0,0,0,1,0,0,0,0,0,54836,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37588,0,0,0
33,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A5,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A5,Project1_sample-0037,A65P05,91110,1952,0,0,0,0,13,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A6,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A6,Project1_sample-0172,A65P06,90513,2646,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,87861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A7,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A7,Project1_sample-0409,A65P07,5644,5633,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
57,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A8,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A8,Project1_sample-0553,A65P08,4697,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A9,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A9,Project1_sample-0401,A65P09,95294,1879,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,3,1,0,0,0,0,3,0,1,0,0,2,29859,0,0,0,0,0,0,0,259,0,0,0,0,0,63280,0,0,0
73,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A10,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A10,Project1_sample-0288,A65P10,84485,2535,0,43658,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,22176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16110
