Sort_Order,Project,Panel,Assay_Batch_Code,Assay_Plate_Code,BS.Purification,BS.Purification.Input,BS.DNA_input,HPV_copies_approx,S3.cycles,Assay_Well_ID,barcode,Owner_Sample_ID,ADCYAP1_t3,ASCL1,ASCL2_t1,ASCL2_t2,ASCL2_t3,CADM1,CDH13_t1,CDH13_t2,DBC1_t1,DBC1_t2,DCC_t1,DCC_t2,DCC_t3,EPB41L3,FAM19A4,GHSR_t1.1,GHSR_t1.2,HOXA9_t1,HOXA9_t2,HOXA9_t3,HPV16_r1,HPV16_r2,HPV16_r3,HPV16_r5,HPV18_r1,HPV18_r2.1,HPV18_r2.2,HPV18_r3,HPV18_r5,HPV31_r1,HPV31_r2,HPV31_r3,HPV31_r5,HPV33_r1,HPV33_r2,HPV33_r3,HPV33_r5,HPV35_r1,HPV35_r2,HPV35_r3,HPV35_r5,HPV39_r1,HPV39_r2,HPV39_r3,HPV39_r5,HPV45_r1.1,HPV45_r1.2,HPV45_r2,HPV45_r3,HPV45_r5,HPV51_r1,HPV51_r2,HPV51_r3,HPV51_r5,HPV52_r1,HPV52_r2,HPV52_r3,HPV52_r5,HPV58_r1,HPV58_r2,HPV58_r3,HPV58_r5,HPV59_r1,HPV59_r2,HPV59_r3,HPV59_r5,HS3ST2_t1,HS3ST2_t2,HS3ST2_t3,HTR1B_t1,LHX8,MAL,MME_t1,MME_t2,MOS,MYOD1_t1,MYOD1_t2,NPY_t2,POU4F3,RASSF1_t1,RASSF1_t2,SOX1_t1,SOX1_t2,SST_t1.1,SST_t1.2,SST_t1.3,TMEFF2_t1,TMEFF2_t2,TMEFF2_t3,ZIC1
1,HM-dev,All,HM-T66,T66_P2,column,std,1uL-1:20,25,3,A1,101,100perc-hg19_all-HR,0.9259259,0.494845,neg,neg,neg,0.873630455555556,1,neg,0.9772727,0.962963,0.99118388,0.987013,0.992668,0.811188333333333,neg,neg,neg,neg,neg,0.973604,neg,1,neg,neg,neg,neg,0.736165,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,1,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.9791667,neg,neg,neg,neg,neg,neg,neg,0.98883631,neg,neg,0.999444753,0.869562157142857,neg,neg,neg,neg,neg,neg,neg,1,1,neg,neg
2,HM-dev,All,HM-T66,T66_P2,column,std,1uL-1:20,25,3,B1,102,50perc-hg19_all-HR,0.510417,0.9347409,neg,neg,0.220103,neg,neg,neg,neg,neg,0.719432,0.531034,0.895575,0.5744175,neg,neg,neg,0,neg,0.422787,neg,0.00151499999999999,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.9575585875,0,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.9259259,neg,neg,neg,neg,neg,0.9545455,1,neg,neg,0.777301,0,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
3,HM-dev,All,HM-T66,T66_P2,column,std,1uL-1:20,25,3,C1,103,0perc-hg19_all-HR,0,0,neg,neg,0.00962600000000002,0,neg,neg,neg,neg,0.00365199999999999,0,0.00222469,0.0023921,neg,neg,neg,neg,neg,neg,neg,0.00692500000000001,neg,neg,neg,0.00740833333333335,0,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.04134775,0.019608,0.0107526666666667,neg,0,neg,neg,neg,neg,neg,neg,0.010368,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.254967,neg,neg,0.00365899999999997,neg,neg,neg,neg,neg,neg,neg,neg,0.028571,neg,neg,neg
4,HM-dev,All,HM-T66,T66_P2,column,std,1uL-1:20,25,3,D1,104,NTC,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
5,HM-dev,All,HM-T66,T66_P2,column,std,5uL-1:20,125,3,A2,109,100perc-hg19_all-HR,0.9895397,0.9979859,neg,neg,0.99809765,0.981519625,0.9338235,neg,0.9876543,neg,0.830354,0.9644737,0.903217,0.883054833333333,neg,neg,0.918707,1,neg,0.91476,neg,0.998570085,neg,neg,neg,0.997938945,0.919487426666667,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,1,0.9402985,neg,0.49774775,neg,0.880649972727273,neg,0.9725976,neg,neg,neg,neg,0.3844008925,0.093426,0.431877666666667,neg,0.0714288,neg,0.996136383333333,neg,0.924407433333333,neg,neg,0.78734,neg,neg,neg,neg,0.9859155,0.9722222,0.9215686,neg,neg,neg,0.973684,0.861111,0.94302486,neg,neg,0.999006359,0.877512145454545,neg,neg,neg,0.767606,neg,neg,neg,0.9661017,neg,neg,neg
6,HM-dev,All,HM-T66,T66_P2,column,std,5uL-1:20,125,3,B2,110,50perc-hg19_all-HR,0.452941,0.738594,neg,neg,0.42782,0.289393444444444,0.823529,neg,0.712329,0.081967,0.572923,0.483308,0.691802,0.434719666666667,neg,neg,0.7115545,0.99082569,neg,0.554062,neg,0.772249,neg,neg,neg,0.775322666666667,0.816286,neg,neg,neg,neg,neg,0,neg,neg,neg,neg,neg,0,0.688312,neg,neg,0.0625,neg,neg,neg,neg,neg,neg,neg,0.03401194,0.174242,0.0357143333333333,neg,0.263860833333333,neg,neg,neg,0.340843333333333,neg,neg,0.370878,0.016837,neg,neg,neg,neg,0.086957,0.9642857,neg,neg,1,0.875,0.564103,0.6888925,neg,neg,0.572124,0.266032181818182,1,neg,neg,0.9583333,neg,neg,neg,0.40411,0.9888268,0.99472991,neg
7,HM-dev,All,HM-T66,T66_P2,column,std,5uL-1:20,125,3,C2,111,0perc-hg19_all-HR,0.00321499999999997,0.00621099999999997,neg,neg,0.00626400000000005,0.0152333555555556,0.066667,neg,0.00526300000000002,0.034188,0.013088,0.00480499999999995,0.0180936,0.0781836033333333,neg,neg,0.36341715,neg,neg,0.00352803,neg,0.00366549999999999,neg,neg,neg,0.00394633333333335,0.0645606666666667,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.0800375,0,neg,neg,neg,0.003472225,neg,neg,neg,neg,neg,neg,neg,0.00699300000000003,0.00433833333333333,neg,0.0129376,neg,0.00181166666666666,neg,0,neg,neg,0.011925,0.0221046666666667,neg,neg,neg,neg,0.016393,neg,neg,neg,neg,neg,0,0.338497,neg,neg,0.00415900000000002,0.0286774,neg,neg,neg,0.113636,neg,neg,neg,0,0.029412,0.00231700000000001,neg
8,HM-dev,All,HM-T66,T66_P2,column,std,5uL-1:20,125,3,D2,112,NTC,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,0.2,neg,neg,neg,neg,neg,neg,neg,neg,0.4,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg,neg
9,HM-dev,All,HM-T66,T66_P2,column,std,2uL-stock,1000,3,A3,117,100perc-hg19_all-HR,0.947079,0.99451303,neg,neg,0.99056394,0.922973888888889,0.9850746,0.958904,0.9410496,neg,0.9263779,0.9630845,0.907685,0.877423833333333,neg,neg,0.832315454545455,0.9858268,neg,0.950853,1,0.9764222,neg,neg,0.714286,0.813806333333333,0.920745,neg,0.997695857142857,0.722918333333333,neg,1,0.9775281,neg,neg,neg,neg,0.77193,0.791834,0.9661836,neg,0.682643,0.774194,0.901460422222222,neg,0.693513925,neg,neg,0.43211,neg,0.8949666625,0.335714,0.445994,1,0.428365833333333,neg,0.593321666666667,neg,0.801348666666667,neg,neg,0.815668,0.846063466666667,neg,0.5,0.963844666666667,0.979564,0.9396552,0.972973,neg,neg,0.974748857142857,0.883721,0.9897611,0.97031885,neg,neg,0.9770771,0.901817018181818,1,neg,neg,0.99412259,neg,neg,0.994709,0.9584139,0.99359658,0.678727,0.971765431818182
10,HM-dev,All,HM-T66,T66_P2,column,std,2uL-stock,1000,3,B3,118,50perc-hg19_all-HR,0.395622,0.569159,0.7,0.884615,0.467752,0.194961,0.727273,0.538462,0.563126,0.276458,0.558157,0.650166,0.646351,0.534033833333333,neg,neg,0.5185349,0.9136691,neg,0.50988,0.684060333333333,0.432676,neg,neg,0.517241,0.398726,0.490106666666667,neg,neg,0.559175,0.02381,0.96834676,0.179762,neg,neg,neg,neg,0.757009,0.3886175,0.441975,neg,0.262188333333333,0.170455,0.51601675,neg,0.28288925,neg,0.375,0.192918666666667,neg,0.405472875,0.148325,0.253265666666667,neg,0.264807333333333,neg,0.0015573333333333,neg,0.436658,neg,neg,0.29297,0.425634666666667,0.642857,neg,0.933333333333333,0.785714,0.523622,0.9551282,neg,neg,neg,0.60274,0.779817,0.6214265,neg,neg,0.593762,0.511846,0.873134,neg,neg,0.9042553,neg,neg,neg,0.566629,0.74041,0.656816,0.894231421052632
